,part_class,size_length,size_width,plate_thickness,plate_length,plate_widtn
60#151#139,14486931,2907.78,290.05,16,8000,2300
60#77#26,14486931,2907.78,290.05,16,8000,2300
65#91#135,14486931,2907.78,290.05,16,8000,2300
146#20#124,14486931,2907.78,290.05,16,8000,2300
82#38#101,14486931,2907.78,290.05,16,8000,2300
58#94#96,14486931,2907.78,290.05,16,8000,2300
118#95#68,14486931,2907.78,290.05,16,8000,2300
146#8#109,14486931,2907.78,290.05,16,8000,2300
115#143#119,14486931,2907.78,290.05,16,8000,2300
121#68#135,14486931,2907.78,290.05,16,8000,2300
66#74#47,14296127,453,278,16,8000,2300
53#2#133,14296127,453,278,16,8000,2300
133#106#77,14296127,453,278,16,8000,2300
11#133#30,14296127,453,278,16,8000,2300
27#134#63,14296158,453,278,16,8000,2300
92#120#123,14296158,453,278,16,8000,2300
46#31#114,14296158,453,278,16,8000,2300
38#66#25,14296158,453,278,16,8000,2300
42#107#107,BCB004745006,411,314,16,8000,2300
35#62#6,BCB004745006,411,314,16,8000,2300
74#21#4,BCB004745006,411,314,16,8000,2300
98#149#46,BCB004745006,411,314,16,8000,2300
96#3#54,BCB004745006,411,314,16,8000,2300
51#52#110,BCB004745006,411,314,16,8000,2300
122#70#73,BCB004745006,411,314,16,8000,2300
28#33#139,BCB004745006,411,314,16,8000,2300
140#19#88,BCB004745006,411,314,16,8000,2300
138#74#7,BCB004745006,411,314,16,8000,2300
3#120#28,BCB004745006,411,314,16,8000,2300
19#54#37,BCB004745006,411,314,16,8000,2300
146#42#59,BCB004745006,411,314,16,8000,2300
135#91#149,BCB004745006,411,314,16,8000,2300
140#85#33,BCB004745006,411,314,16,8000,2300
84#14#5,BCB004745006,411,314,16,8000,2300
155#23#131,BCB004745006,411,314,16,8000,2300
107#109#26,BCB004745006,411,314,16,8000,2300
53#66#98,BCB004745006,411,314,16,8000,2300
117#148#134,BCB004745006,411,314,16,8000,2300
97#85#59,BCB004745006,411,314,16,8000,2300
28#6#70,BCB004745006,411,314,16,8000,2300
9#73#36,BCB004745006,411,314,16,8000,2300
104#133#138,BCB004745006,411,314,16,8000,2300
69#106#124,BCB004745006,411,314,16,8000,2300
19#102#10,BCB004745006,411,314,16,8000,2300
90#16#110,BCB004745006,411,314,16,8000,2300
140#80#33,BCB004745006,411,314,16,8000,2300
17#88#105,BCB004745006,411,314,16,8000,2300
127#68#93,BCB004745006,411,314,16,8000,2300
62#128#141,BCB004745006,411,314,16,8000,2300
68#13#131,BCB004745006,411,314,16,8000,2300
55#116#128,BCB004745006,411,314,16,8000,2300
35#112#142,BCB004745006,411,314,16,8000,2300
23#50#38,BCB004745006,411,314,16,8000,2300
143#2#121,BCB004745006,411,314,16,8000,2300
10#94#150,BCB004745006,411,314,16,8000,2300
148#50#52,BCB004745006,411,314,16,8000,2300
57#21#117,BCB004745006,411,314,16,8000,2300
78#72#147,BCB004745006,411,314,16,8000,2300
126#46#142,BCB004745006,411,314,16,8000,2300
147#44#16,BCB004745006,411,314,16,8000,2300
113#113#75,BCB004745006,411,314,16,8000,2300
121#31#103,BCB004745006,411,314,16,8000,2300
106#73#73,BCB004745006,411,314,16,8000,2300
18#79#111,BCB004745006,411,314,16,8000,2300
19#29#104,BCB004745006,411,314,16,8000,2300
119#128#28,BCB004745006,411,314,16,8000,2300
107#132#144,BCB004745006,411,314,16,8000,2300
126#144#90,BCB004745006,411,314,16,8000,2300
139#46#31,BCB004745006,411,314,16,8000,2300
136#131#138,BCB004745006,411,314,16,8000,2300
94#80#101,BCB004745006,411,314,16,8000,2300
49#109#95,BCB004745006,411,314,16,8000,2300
91#147#11,BCB004745006,411,314,16,8000,2300
103#97#51,BCB004745006,411,314,16,8000,2300
37#117#116,BCB004745006,411,314,16,8000,2300
148#49#138,BCB004745006,411,314,16,8000,2300
37#91#43,BCB004745006,411,314,16,8000,2300
116#55#19,BCB004745006,411,314,16,8000,2300
9#24#42,11054864,267.1,254,16,8000,2300
30#75#117,11054864,267.1,254,16,8000,2300
82#130#2,11054864,267.1,254,16,8000,2300
18#152#47,11054864,267.1,254,16,8000,2300
71#31#128,11054864,267.1,254,16,8000,2300
131#29#81,11054864,267.1,254,16,8000,2300
115#149#111,11054864,267.1,254,16,8000,2300
94#118#99,11054864,267.1,254,16,8000,2300
64#83#50,11054864,267.1,254,16,8000,2300
48#24#76,11054864,267.1,254,16,8000,2300
37#112#89,11054864,267.1,254,16,8000,2300
69#100#138,11054864,267.1,254,16,8000,2300
129#116#86,11054864,267.1,254,16,8000,2300
37#125#129,11054864,267.1,254,16,8000,2300
127#117#22,11054864,267.1,254,16,8000,2300
72#9#125,11054864,267.1,254,16,8000,2300
51#27#82,11054864,267.1,254,16,8000,2300
7#142#81,11054864,267.1,254,16,8000,2300
37#48#138,11054864,267.1,254,16,8000,2300
101#48#85,11054864,267.1,254,16,8000,2300
20#155#66,11054864,267.1,254,16,8000,2300
52#23#123,11054864,267.1,254,16,8000,2300
21#151#44,11054864,267.1,254,16,8000,2300
